yr,season,tod,Cover,herd,strength,ID
2018,spring,day,Forest,FOGO,0.021390308478542,FO2017009
2018,spring,day,Forest,FOGO,0.180513784461153,FO2017012
2018,spring,day,Forest,FOGO,0.187467532467532,FO2017014
2017,winter,night,Forest,FOGO,0.199732620320856,FO2016002
2017,winter,night,Forest,FOGO,0.106442577030812,FO2016003
2017,winter,night,Forest,FOGO,0.170786203044268,FO2016004
2017,winter,night,Forest,FOGO,0.13695652173913,FO2016005
2017,winter,night,Forest,FOGO,0.101223581757508,FO2016008
2017,winter,night,Forest,FOGO,0.225296442687747,FO2016010
2017,winter,night,Forest,FOGO,0.294261959929126,FO2016012
2017,winter,night,Forest,FOGO,0,FO2016013
2018,winter,night,Forest,FOGO,0.259534451034019,FO2016002
2018,winter,night,Forest,FOGO,0.397594429789729,FO2016004
2018,winter,night,Forest,FOGO,0.785522713033606,FO2016005
2018,winter,night,Forest,FOGO,0.13670511682934,FO2016010
2018,winter,night,Forest,FOGO,0.680803201778415,FO2016012
2018,winter,night,Forest,FOGO,0.0872796054853746,FO2016013
2018,winter,night,Forest,FOGO,0,FO2017001
2018,winter,night,Forest,FOGO,0.828628295575203,FO2017003
2018,winter,night,Forest,FOGO,0.107168953478932,FO2017004
2018,winter,night,Forest,FOGO,0.425728613524227,FO2017006
2018,winter,night,Forest,FOGO,0.525454588925651,FO2017007
2018,winter,night,Forest,FOGO,0.553356797220752,FO2017008
2018,winter,night,Forest,FOGO,0.25550359936131,FO2017009
2018,winter,night,Forest,FOGO,0.589367227390894,FO2017012
2018,winter,night,Forest,FOGO,0.630208228444628,FO2017014
2019,winter,day,Forest,FOGO,0.0217391304347826,FO2017001
2019,winter,day,Forest,FOGO,0,FO2017004
2019,winter,day,Forest,FOGO,0.0526315789473684,FO2017007
2019,winter,day,Forest,FOGO,0.0740740740740741,FO2017008
2019,winter,day,Forest,FOGO,0.0958132045088567,FO2017009
2019,winter,day,Forest,FOGO,0.0526315789473684,FO2017012
2019,winter,day,Forest,FOGO,0,FO2017014
2019,winter,night,Forest,FOGO,0.110323886639676,FO2017001
2019,winter,night,Forest,FOGO,0,FO2017004
2019,winter,night,Forest,FOGO,0.176470588235294,FO2017007
2019,winter,night,Forest,FOGO,0.132631578947368,FO2017008
2019,winter,night,Forest,FOGO,0.137692307692308,FO2017009
